service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72271,1,1,1,1,1,0,0,20200228,20200612
68307,1,1,1,1,0,0,0,20200302,20200612
59729,1,1,1,1,1,0,0,20200323,20200612
54193,0,0,0,0,0,0,0,20200323,20200612
52925,0,0,0,0,0,0,0,20200323,20200612
52890,0,0,0,0,0,0,0,20200323,20200612
52646,0,0,0,0,0,0,0,20200323,20200611
51400,0,0,0,0,0,0,0,20200323,20200612
48068,0,0,0,0,0,0,0,20200323,20200605
46261,0,0,0,0,0,0,0,20200323,20200612
46004,0,0,0,0,0,0,0,20200323,20200612
44514,0,0,0,0,0,0,0,20200323,20200612
35214,0,0,0,0,0,0,0,20200323,20200611
24515,0,0,0,0,1,0,0,20200327,20200612
15434,0,0,0,0,0,0,1,20200301,20200607
15215,0,0,1,0,0,0,0,20200325,20200610
13773,0,0,0,0,0,1,0,20200229,20200606
13725,0,0,1,0,0,0,0,20200325,20200610
13468,0,0,1,0,0,0,0,20200325,20200610
13343,0,0,0,0,0,0,1,20200322,20200607
12655,0,0,0,0,0,0,1,20200329,20200607
12542,1,1,1,1,1,0,0,20200228,20200320
12501,0,0,0,0,0,1,0,20200321,20200606
12190,1,1,1,1,0,0,0,20200228,20200320
11800,0,0,0,0,0,1,0,20200328,20200606
11661,0,0,0,0,0,0,0,20200406,20200612
11500,1,1,1,1,1,0,0,20200228,20200319
10344,1,1,0,1,1,0,0,20200228,20200320
9992,1,1,0,1,0,0,0,20200228,20200320
9958,0,0,0,0,0,1,0,20200418,20200606
9531,0,0,0,0,0,0,1,20200419,20200607
9302,1,1,0,1,1,0,0,20200228,20200319
8578,1,1,1,1,0,0,0,20200302,20200319
8329,0,0,0,0,0,0,0,20200406,20200526
7083,0,0,0,0,0,0,0,20200406,20200612
6886,0,0,0,0,0,0,0,20200325,20200610
6839,0,0,0,0,0,0,0,20200406,20200522
6804,1,1,1,1,1,0,0,20200413,20200417
6664,0,0,0,0,0,0,0,20200325,20200610
5536,1,1,1,1,1,0,0,20200406,20200410
3964,0,0,0,0,1,0,0,20200228,20200320
3240,0,0,1,0,0,0,0,20200304,20200320
2550,0,0,1,0,0,0,0,20200304,20200318
2198,0,0,1,0,0,0,0,20200304,20200318
2091,0,0,0,0,0,0,1,20200301,20200315
1272,0,0,0,0,0,1,0,20200229,20200314
1042,0,0,0,0,1,0,0,20200320,20200320
352,0,0,0,0,1,0,0,20200313,20200313
